subsystem,code,lang,short_message,user_hint,operation
1,0X461D,en,Endoscope arm locked,Endoscope arm locked,
6,0XB88D,en,3D Full Screen Picture-in-Picture is not connected to the input source correctly,3D Full Screen Picture-in-Picture is not connected to the input source correctly,
1,0X462D,en,Please turn off the fluorescence sensitive mode before operating,Please turn off the fluorescence sensitive mode before operating,
1,0X424D,en,Local take,Local take,
1,0X425D,en,Local give,Local give,
1,0X426D,en,Local take all,Local take all,
8,0X424D,en,Remote take,Remote take,
8,0X425D,en,Remote give,Remote give,
8,0X426D,en,Remote take all,Remote take all,
6,0XB65D,en,Input source HDMI 1 not connected,Input source HDMI 1 not connected,
6,0XB66D,en,Input source HDMI 2 not connected,Input source HDMI 2 not connected,
6,0XB67D,en,Input source SDI 1 not connected,Input source SDI 1 not connected,
6,0XB68D,en,Input source SDI 2 not connected,Input source SDI 2 not connected,
1,0X2EED,en,,,Please do not step on the pedals at both ends at the same time
8,0X2EED,en,,,Please do not step on the pedals at both ends at the same time
1,0X2FCD,en,No arm to switch,No arm to switch,
8,0X2FCD,en,No arm to switch,No arm to switch,
4,0X143D,en,Exhausted battery,Exhausted battery,
4,0X144D,en,Low battery,Low battery,
1,0X193D,en,"Large vessel wall closure device disconnection, cleaning and inspection of cables","Large vessel wall closure device disconnection, cleaning and inspection of cables",Please inspect the connections.
1,0X192D,en,Please check if there is a malfunction in the driver of the large vessel closure device,Please check if there is a malfunction in the driver of the large vessel closure device,Please inspect the connections.
1,0X138D,en,"The stapler booking has been used, please replace it","The stapler booking has been used, please replace it",Change booking
1,0X137D,en,The stapler has been returned and completed. Please update the booking,The stapler has been returned and completed. Please update the booking,Change booking
1,0X430D,en,The screen frame rate is unsuitable for surgery,The screen frame rate is unsuitable for surgery,
1,0X429B,en,Abnormal data source change,Abnormal data source change,please check network settings
8,0X429B,en,Abnormal data source change,Abnormal data source change,please check network settings
1,0X611D,en,Tocar mount successful,Tocar mount successful,
1,0X33FE,en,Tocar status changes ,Tocar status changes ,
1,0XA01E,en,Startup log record,Startup log record,
1,0XA02E,en,Shutdown log record,Shutdown log record,
8,0XA01E,en,Startup log record,Startup log record,
8,0XA02E,en,Shutdown log record,Shutdown log record,
1,0X612D,en,,,Please remove the Instrument
1,0X427D,en,Local give all,Local give all,
8,0X427D,en,Remote give all,Remote give all,
1,0X401D,en,Poor network quality,Poor network quality,No surgery allowed
1,0X402D,en,Poor network quality,Poor network quality,Operation not recommended
1,0X403D,en,Medium network quality,Medium network quality,Please operate slowly with caution
1,0X404D,en,Average network quality,Average network quality,Please operate slowly
1,0X463D,en,Endoscope in motion,Endoscope in motion,Please wait
8,0X463D,en,Endoscope in motion,Endoscope in motion,Please wait
1,0X464D,en,Instrument arm collision,Instrument arm collision,attention
1,0X623D,en,Normal mode,Normal mode,
1,0X627D,en,Fluorescence mode,Fluorescence mode,
1,0X629D,en,Image fusion,Image fusion,
3,0X164D,en,Linkage protection,Linkage protection,Please adjust the Master upwards
3,0X165D,en,Linkage protection,Linkage protection,Please adjust the monitor height downwards
9,0X164D,en,Linkage protection,Linkage protection,Please adjust the Master upwards
9,0X165D,en,Linkage protection,Linkage protection,Please adjust the monitor height downwards
